Year,Total,Affirmative,Defensive,Africa,Asia,Europe,NorthAmerica,Oceania,SouthAmerica,Unknown
1990,8472,5672,2800,2294,2259,562,336,4,864,42
1991,5035,2908,2127,1938,322,367,543,5,1033,18
1992,6307,4123,2184,1769,7233,278,1346,12,696,46
1993,9543,7509,2034,2471,7085,302,17,2,370,18
1994,13828,11775,2053,1700,3638,53,67,14,279,14
1995,20703,17573,3130,281,3222,93,970,1,273,49
1996,23532,18624,4908,485,1458,437,2670,3,255,29
1997,22939,16380,6559,339,5125,626,4250,3,349,23
1998,20507,13216,7291,801,2891,892,2780,2,5125,50
1999,26571,18150,8421,1303,1050,111,1761,0,5473,68
2000,32514,23278,9236,7382,9613,2006,1437,84,2655,67
2001,39148,29147,10001,6466,12722,1937,1719,342,5857,117
2002,36937,25960,10977,5891,11784,1429,1396,178,5163,107
2003,28743,15367,13376,4017,5232,1065,1507,60,3420,60
2004,27376,14354,13022,3819,3032,855,2205,63,4263,57
2005,25304,13547,11757,2665,3853,674,2908,23,3305,36
2006,26352,13048,13304,2016,3317,549,3599,16,3382,41
2007,25318,12459,12859,2473,4422,675,2236,27,2438,53
2008,23022,12130,10892,2635,4855,757,1753,22,1980,93
2009,22303,12003,10300,2805,5544,814,1494,17,1126,133
2010,19777,11258,8519,2689,5413,720,1433,8,930,65
2011,23608,13470,10138,3116,6477,941,1538,18,1332,48
2012,27920,17345,10575,5040,8013,1151,1639,16,1429,57
2013,24842,15075,9767,4815,7499,748,1121,10,848,34
2014,23077,14441,8636,4230,7411,548,1566,20,625,41
2015,25814,17674,8140,3698,6586,701,5741,4,892,52
2016,20152,11457,8695,2020,4318,464,4114,7,501,33
2017,26199,15639,10560,2752,5694,655,5808,5,683,42
2018,37567,24382,13185,4357,7830,1551,4292,3,6268,81
2019,46508,27643,18865,5431,9441,1862,3905,3,6886,115
